id,company_id,year,sales,expenses,operating_profit,opm_percentage,other_income,interest,depreciation,profit_before_tax,tax_percentage,net_profit,eps,dividend_payout
1301,UNITDSPR,TTM,11821,9710,2111.0,18.0,176,96,286,1905,,1402,19.0,
1302,VBL,Dec 2012,1800,1572,228.0,13.0,44,116,136,21,-20.0,25,2.0,0.0
1303,VBL,Dec 2013,2115,1824,291.0,14.0,19,171,184,-46,-11.0,-40,0.0,0.0
1304,VBL,Dec 2014,2502,2116,387.0,15.0,14,187,210,4,99.0,-20,0.0,0.0
1305,VBL,Dec 2015,3394,2752,642.0,19.0,36,170,317,191,41.0,113,1.0,0.0
1306,VBL,Dec 2016,3861,3052,810.0,21.0,27,435,322,79,39.0,48,0.0,0.0
1307,VBL,Dec 2017,4004,3165,838.0,21.0,14,215,347,291,26.0,214,1.0,22.0
1308,VBL,Dec 2018,5105,4069,1036.0,20.0,6,223,385,434,31.0,300,1.0,16.0
1309,VBL,Dec 2019,7130,5667,1462.0,21.0,47,324,489,696,32.0,472,1.0,15.0
1310,VBL,Dec 2020,6450,5235,1215.0,19.0,-30,294,529,363,1.0,357,1.0,22.0
1311,VBL,Dec 2021,8823,7129,1694.0,19.0,51,207,531,1007,26.0,746,2.0,16.0
1312,VBL,Dec 2022,13173,10310,2863.0,22.0,-18,204,617,2024,23.0,1550,5.0,15.0
1313,VBL,Dec 2023,16043,12326,3717.0,23.0,-5,292,681,2739,23.0,2102,6.0,16.0
1314,VBL,TTM,18987,14438,4549.0,24.0,86,415,853,3367,,2582,8.0,
1315,VEDL,Mar 2013,2749,2283,465.0,17.0,33,475,197,-174,-25.0,2280,26.0,0.0
1316,VEDL,Mar 2014,66152,46557,19595.0,30.0,1874,5094,6882,9493,-9.0,11421,21.0,15.0
1317,VEDL,Mar 2015,73710,51595,22114.0,30.0,-19222,5659,7159,-9925,15.0,-11369,-53.0,-8.0
1318,VEDL,Mar 2016,64262,82741,-18479.0,-29.0,4290,5778,8572,-28540,-37.0,-17862,-41.0,-8.0
1319,VEDL,Mar 2017,72225,50849,21376.0,30.0,4423,5855,6292,13652,17.0,11316,23.0,83.0
1320,VEDL,Mar 2018,91866,66989,24877.0,27.0,6087,5112,6283,19569,30.0,13692,28.0,76.0
1321,VEDL,Mar 2019,92048,68877,23171.0,25.0,4270,5689,8192,13560,28.0,9698,19.0,99.0
1322,VEDL,Mar 2020,84447,63704,20743.0,25.0,-14932,4977,9093,-8259,-43.0,-4744,-18.0,-22.0
1323,VEDL,Mar 2021,88021,60703,27318.0,31.0,2743,5210,7638,17213,13.0,15032,31.0,30.0
1324,VEDL,Mar 2022,132732,87908,44824.0,34.0,1832,4797,8895,32964,28.0,23710,51.0,89.0
1325,VEDL,Mar 2023,147308,112877,34431.0,23.0,2625,6225,10555,20276,28.0,14503,28.0,357.0
1326,VEDL,Mar 2024,143727,108415,35312.0,25.0,5239,9465,10723,20363,63.0,7539,11.0,259.0
1327,VEDL,TTM,144448,107376,37072.0,26.0,5266,9721,10958,21659,,15841,30.0,
1328,WIPRO,Mar 2013,37430,29773,7657.0,20.0,1440,289,940,7869,21.0,6182,5.0,28.0
1329,WIPRO,Mar 2014,43424,33788,9635.0,22.0,1922,383,1060,10114,21.0,7991,6.0,25.0
1330,WIPRO,Mar 2015,46951,36652,10299.0,22.0,2450,350,1175,11224,22.0,8714,7.0,34.0
1331,WIPRO,Mar 2016,51244,40448,10796.0,21.0,2752,558,1496,11494,22.0,8957,7.0,17.0
1332,WIPRO,Mar 2017,55448,44128,11321.0,20.0,2623,594,2310,11039,23.0,8518,7.0,6.0
1333,WIPRO,Mar 2018,54487,44100,10387.0,19.0,2550,583,2112,10242,22.0,8003,7.0,6.0
1334,WIPRO,Mar 2019,59019,47406,11613.0,20.0,2614,738,1947,11542,22.0,9018,7.0,7.0
1335,WIPRO,Mar 2020,61138,48795,12342.0,20.0,2728,733,2086,12252,20.0,9772,9.0,6.0
1336,WIPRO,Mar 2021,61935,47164,14771.0,24.0,2404,509,2763,13903,22.0,10868,10.0,5.0
1337,WIPRO,Mar 2022,79312,62628,16684.0,21.0,2067,532,3078,15141,19.0,12243,11.0,27.0
1338,WIPRO,Mar 2023,90488,73649,16839.0,19.0,2275,1008,3340,14766,23.0,11366,10.0,5.0
1339,WIPRO,Mar 2024,89760,73008,16752.0,19.0,2631,1255,3407,14721,25.0,11112,11.0,5.0
1340,WIPRO,TTM,88792,71019,17773.0,20.0,3349,1431,3077,16615,,12488,12.0,
1341,ZOMATO,Mar 2018,466,558,-92.0,-20.0,21,6,29,-107,0.0,-107,-3070.0,0.0
1342,ZOMATO,Mar 2019,1313,3556,-2243.0,-171.0,1285,9,43,-1010,0.0,-1010,-28574.0,0.0
1343,ZOMATO,Mar 2020,2605,4909,-2305.0,-88.0,16,13,84,-2386,0.0,-2386,-70097.0,0.0
1344,ZOMATO,Mar 2021,1994,2461,-467.0,-23.0,-200,10,138,-815,0.0,-816,-23124.0,0.0
1345,ZOMATO,Mar 2022,4192,6043,-1851.0,-44.0,793,12,150,-1220,0.0,-1222,-2.0,0.0
1346,ZOMATO,Mar 2023,7079,8290,-1211.0,-17.0,682,49,437,-1015,-4.0,-971,-1.0,0.0
1347,ZOMATO,Mar 2024,12114,12071,43.0,0.0,846,72,526,291,-21.0,351,0.0,0.0
1348,ZOMATO,TTM,17972,17321,651.0,4.0,944,118,716,761,,663,1.0,
1349,ZYDUSLIFE,Mar 2013,6358,5228,1130.0,18.0,32,169,185,809,15.0,690,6.0,24.0
1350,ZYDUSLIFE,Mar 2014,7224,6021,1203.0,17.0,30,90,201,942,11.0,836,8.0,23.0
1351,ZYDUSLIFE,Mar 2015,8651,6896,1756.0,20.0,45,68,287,1446,18.0,1188,11.0,21.0
1352,ZYDUSLIFE,Mar 2016,9427,7095,2332.0,25.0,112,53,292,2099,8.0,1964,19.0,17.0
1353,ZYDUSLIFE,Mar 2017,9376,7474,1902.0,20.0,127,45,373,1612,8.0,1517,15.0,22.0
1354,ZYDUSLIFE,Mar 2018,11905,9074,2831.0,24.0,111,91,539,2312,24.0,1810,17.0,20.0
1355,ZYDUSLIFE,Mar 2019,13166,10174,2991.0,23.0,183,194,599,2382,22.0,1899,18.0,19.0
1356,ZYDUSLIFE,Mar 2020,14253,11455,2798.0,20.0,-264,342,696,1495,21.0,1204,11.0,30.0
1357,ZYDUSLIFE,Mar 2021,14404,11013,3391.0,24.0,-231,159,670,2331,8.0,2185,21.0,17.0
1358,ZYDUSLIFE,Mar 2022,15110,11768,3342.0,22.0,2581,127,713,5084,10.0,4618,44.0,6.0
1359,ZYDUSLIFE,Mar 2023,17237,13378,3860.0,22.0,-422,130,723,2585,23.0,2092,19.0,31.0
1360,ZYDUSLIFE,Mar 2024,19547,14163,5384.0,28.0,293,81,764,4832,20.0,3973,38.0,8.0
1361,ZYDUSLIFE,TTM,21484,15205,6278.0,29.0,351,112,849,5668,,4439,43.0,
