company_id,company_name,sector,cluster,archetype,net_profit_margin_pct,operating_profit_margin_pct,debt_to_equity,interest_coverage,free_cash_flow_cr,capex_cr,cash_from_operations_cr,market_cap_crore,pe_ratio,pb_ratio,ev_ebitda,dividend_yield_pct
BEL,Bharat Electronics Ltd,Industrials,0,Archetype 1,19.66,25.0,0.5119,476.75,-1265.0,5924.0,4659.0,1354781.06,17.89,9.22,23.14,0.76
BHEL,"Bharat Heavy Electricals Limited
",Industrials,0,Archetype 1,1.18,3.0,0.3624,1.593,-2382.0,1331.0,-3713.0,540053.85,29.8,11.43,21.59,4.04
BPCL,Bharat Petroleum Corporation Ltd,Energy,0,Archetype 1,5.99,10.0,0.7219,11.3555,25415.0,10521.0,35936.0,468662.13,68.15,0.72,26.59,1.15
BHARTIARTL,Bharti Airtel Ltd,Communication Services,0,Archetype 1,5.71,52.0,2.6095,3.3055,27809.0,51089.0,78898.0,378605.83,63.78,6.28,39.71,1.02
BOSCHLTD,Bosch Ltd,Consumer Discretionary,0,Archetype 1,14.89,13.0,0.0032,71.7843,1536.0,283.0,1253.0,2599556.05,58.43,6.47,16.07,4.23
BRITANNIA,Britannia Industries Ltd,Consumer Staples,0,Archetype 1,12.73,19.0,0.524,20.5976,3050.0,477.0,2573.0,324745.74,63.91,4.26,33.95,1.88
DLF,DLF Ltd,Real Estate,0,Archetype 1,42.38,33.0,0.1226,7.4579,1010.0,1529.0,2539.0,1381712.03,46.26,14.32,10.41,2.58
DABUR,Dabur India Ltd,Consumer Staples,0,Archetype 1,14.6,19.0,0.1384,23.2419,1042.0,971.0,2013.0,56521.84,50.95,13.59,12.02,3.42
DIVISLAB,Divis Laboratories Ltd,Healthcare,0,Archetype 1,20.4,28.0,0.0002,636.25,992.0,269.0,1261.0,1615028.67,69.95,12.34,31.81,1.39
DRREDDY,Dr Reddys Laboratories Ltd,Healthcare,0,Archetype 1,19.91,28.0,0.0709,51.7076,509.0,4034.0,4543.0,2441803.28,11.73,10.19,14.56,0.09
EICHERMOT,Eicher Motors Ltd,Consumer Discretionary,0,Archetype 1,24.2,26.0,0.0232,114.7059,890.0,2834.0,3724.0,222391.83,15.62,13.61,19.29,4.41
GAIL,GAIL (India) Ltd,Energy,0,Archetype 1,7.430000000000001,11.0,0.283,23.6245,4360.0,8226.0,12586.0,1531867.57,25.84,9.54,33.07,0.31
GODREJCP,Godrej Consumer Products Ltd,Consumer Staples,0,Archetype 1,-3.98,21.0,0.2558,2.4129,-1365.0,3435.0,2070.0,1327797.2,33.59,8.07,23.55,3.09
GRASIM,Grasim Industries Ltd,Industrials,0,Archetype 1,7.580000000000001,21.0,1.5471,3.0158,-33833.0,23114.0,-10719.0,478951.82,79.35,5.68,15.23,0.98
HCLTECH,HCL Technologies Ltd,Information Technology,0,Archetype 1,14.29,22.0,0.0844,46.4611,15840.0,6608.0,22448.0,412593.29,63.63,5.44,31.21,1.99
HDFCLIFE,HDFC Life Insurance Company Ltd,Financials,0,Archetype 1,1.55,531.0,0.0648,192.2895,-2893.0,13614.0,10721.0,47027.6,50.59,11.28,31.63,3.22
HAVELLS,Havells India Ltd,Industrials,0,Archetype 1,6.84,10.0,0.0407,25.3571,335.0,1618.0,1953.0,2521508.87,45.41,14.08,30.73,2.6
HAL,Hindustan Aeronautics Ltd,Industrials,0,Archetype 1,25.0,32.0,0.6181,270.8837,1814.0,6412.0,8226.0,2643616.86,71.89,3.65,8.76,2.77
ITC,"ITC Ltd
",Consumer Staples,0,Archetype 1,29.28,37.0,0.0041,362.9625,18742.0,1563.0,17179.0,332245.58,47.85,3.24,17.19,4.26
IOC,"Indian Oil Corporation
",Energy,0,Archetype 1,5.56,10.0,0.7231,10.2823,39635.0,31464.0,71099.0,1418164.33,28.61,4.24,33.71,1.25
IRCTC,Indian Railway Catering & Tourism Corporation Ltd,Consumer Discretionary,0,Archetype 1,26.02,34.0,0.0186,82.7368,667.0,215.0,882.0,1258520.29,60.44,5.74,32.47,1.08
IRFC,Indian Railway Finance Corporation Ltd,Financials,0,Archetype 1,24.06,100.0,8.3784,1.3195,7906.0,8.0,7914.0,2618348.58,9.81,3.91,16.66,2.82
NAUKRI,Info Edge (India) Ltd,Communication Services,0,Archetype 1,23.46,28.0,0.0081,28.9714,-150.0,852.0,702.0,563824.44,32.88,8.33,11.87,4.29
INFY,Infosys Ltd,Information Technology,0,Archetype 1,17.08,24.0,0.0949,87.5234,20117.0,5093.0,25210.0,1112279.92,35.99,8.97,36.7,4.1
JSWENERGY,JSW Energy Ltd,Energy,0,Archetype 1,15.02,47.0,1.5156,2.8514,-1963.0,8197.0,6234.0,110870.53,24.79,9.88,35.95,1.25
JSWSTEEL,JSW Steel Ltd,Materials,0,Archetype 1,5.13,16.0,1.1328,3.6591,-2389.0,14467.0,12078.0,2612646.38,69.27,4.37,35.49,2.94
JINDALSTEL,Jindal Steel & Power Ltd,Materials,0,Archetype 1,11.8,20.0,0.3717,8.0046,-2336.0,8344.0,6008.0,396587.97,77.64,5.73,20.22,1.9
JIOFIN,Jio Financial Services Ltd,Financials,0,Archetype 1,86.52,84.0,0.0,198.8,763.0,1441.0,-678.0,1401774.99,34.24,9.91,26.41,3.09
LTIM,LTIMindtree Ltd,Information Technology,0,Archetype 1,12.91,18.0,0.1035,31.9324,1752.0,3918.0,5670.0,1347046.9,64.52,2.38,18.9,4.43
LT,Larsen & Toubro Ltd,Industrials,0,Archetype 1,7.03,14.0,0.1035,3.5442,20445.0,2179.0,18266.0,1124597.5,30.8,2.48,16.63,1.26
LICI,Life Insurance Corporation of India,Financials,0,Archetype 1,4.84,4.0,0.0,371.9375,853.0,25269.0,26122.0,183583.67,30.67,8.1,12.21,3.77
LODHA,Macrotech Developers Ltd,Real Estate,0,Archetype 1,15.06,26.0,0.4407,5.6286,-435.0,2947.0,2512.0,1209919.99,51.95,7.65,34.33,4.05
M&M,"Mahindra & Mahindra Ltd
",Consumer Discretionary,0,Archetype 1,8.82,18.0,1.6414,3.7647,-11245.0,5615.0,-5630.0,4173085.48,14.22,0.81,29.08,2.37
MARUTI,Maruti Suzuki India Ltd,Consumer Discretionary,0,Archetype 1,9.51,13.0,0.0014,117.9072,4936.0,11865.0,16801.0,1503863.63,20.78,8.26,29.97,1.78
NHPC,"NHPC Ltd
",Energy,0,Archetype 1,41.82,50.0,0.8413,11.2434,970.0,5968.0,6938.0,1740404.25,71.17,13.74,18.26,1.68
NTPC,NTPC Ltd,Energy,0,Archetype 1,11.95,29.0,1.4755,4.605,8644.0,32141.0,40785.0,907823.11,30.8,5.24,37.12,0.06
NESTLEIND,Nestle India Ltd,Consumer Staples,0,Archetype 1,16.12,24.0,0.1033,41.1862,2938.0,1237.0,4175.0,1677775.19,54.96,14.34,15.49,3.85
ONGC,Oil & Natural Gas Corpn Ltd,Energy,0,Archetype 1,9.66,17.0,0.4544,11.3613,42060.0,57203.0,99263.0,390111.05,18.15,10.36,11.72,1.11
PIDILITIND,Pidilite Industries Ltd,Materials,0,Archetype 1,14.11,22.0,0.0454,54.3333,955.0,1769.0,2724.0,162274.18,36.12,12.3,5.36,1.01
PFC,Power Finance Corporation Ltd,Financials,0,Archetype 1,28.92,37.0,8.5219,0.5804,-101229.0,3409.0,-97820.0,2011885.81,35.6,6.59,15.67,0.42
POWERGRID,Power Grid Corporation of India Ltd,Energy,0,Archetype 1,33.97,87.0,1.4173,4.603,24176.0,13114.0,37290.0,372584.24,64.39,5.1,23.07,3.09
PNB,Punjab National Bank,Financials,0,Archetype 1,8.4,24.0,3.6843,11.3613,-29445.0,1506.0,-27939.0,1825925.6,19.29,10.91,23.64,1.32
RECLTD,REC Ltd,Financials,0,Archetype 1,29.77,101.0,6.4249,1.6005,-59554.0,1831.0,-57723.0,291917.42,31.49,4.59,23.95,2.18
RELIANCE,"Reliance Industries Ltd
",Energy,0,Archetype 1,8.790000000000001,18.0,0.5785,7.7289,45207.0,113581.0,158788.0,432472.71,58.34,3.25,24.96,4.21
SBILIFE,SBI Life Insurance Company Ltd,Financials,0,Archetype 1,1.43,0.0,0.0,240.3333,-2099.0,31221.0,29122.0,886097.71,69.98,9.48,31.04,1.62
MOTHERSON,Samvardhana Motherson International Ltd,Consumer Discretionary,0,Archetype 1,3.06,9.0,0.7617,5.2247,925.0,6644.0,7569.0,146151.16,9.54,2.38,33.39,2.18
SHREECEM,Shree Cement Ltd,Materials,0,Archetype 1,8.450000000000001,22.0,0.08,19.8256,1929.0,1418.0,3347.0,3154358.33,25.87,1.21,26.58,3.2
SHRIRAMFIN,"Shriram Finance Ltd
",Financials,0,Archetype 1,20.33,29.0,3.994,0.6767,-31359.0,258.0,-31101.0,868933.47,68.53,7.91,28.82,1.86
SIEMENS,Siemens Ltd,Industrials,0,Archetype 1,12.22,14.0,0.0182,67.15,1168.0,502.0,1670.0,1191331.95,33.32,9.25,30.88,3.69
SBIN,State Bank of India,Financials,0,Archetype 1,14.120000000000001,24.0,0.43579999999999997,11.3613,1068.5,3699.5,5658.0,2400436.05,54.93,2.72,21.53,0.42
SUNPHARMA,Sun Pharmaceuticals Industries Ltd,Healthcare,0,Archetype 1,19.82,28.0,0.0514,58.3319,11372.0,763.0,12135.0,1339586.09,37.9,6.71,21.41,3.88
TVSMOTOR,TVS Motor Company Ltd,Consumer Discretionary,0,Archetype 1,4.54,14.0,3.8334,2.9077,-2254.0,1001.0,-1253.0,266591.41,46.1,5.62,7.1,3.07
TCS,Tata Consultancy Services Ltd,Information Technology,0,Archetype 1,19.14,27.0,0.0886,87.0951,50429.0,6091.0,44338.0,461188.15,78.69,6.08,29.94,1.62
TATACONSUM,Tata Consumer Products Ltd,Consumer Staples,0,Archetype 1,7.99,15.0,0.2165,25.3218,26.0,1911.0,1937.0,350543.35,54.79,7.14,24.84,1.87
TATAMOTORS,Tata Motors Ltd,Consumer Discretionary,0,Archetype 1,7.26,14.0,1.2631,6.5302,45133.0,22782.0,67915.0,1504106.64,67.07,0.93,15.35,3.65
TATAPOWER,"Tata Power Company Ltd
",Energy,0,Archetype 1,6.97,17.0,1.6593,3.0544,3569.0,9027.0,12596.0,1647269.48,14.5,3.48,12.02,0.49
TATASTEEL,"Tata Steel Ltd
",Materials,0,Archetype 1,-2.14,10.0,0.9462,2.1634,6048.0,14253.0,20301.0,369110.65,48.97,9.23,38.87,1.0
TECHM,Tech Mahindra Ltd,Information Technology,0,Archetype 1,4.61,9.0,0.0951,13.8597,5058.0,1318.0,6376.0,3021095.64,57.4,7.43,7.85,0.64
TITAN,"Titan Company Ltd
",Consumer Discretionary,0,Archetype 1,6.84,10.0,1.6531,9.412,1506.0,189.0,1695.0,1793769.72,10.13,10.51,21.0,3.1
TORNTPHARM,Torrent Pharmaceuticals Ltd,Healthcare,0,Archetype 1,15.44,31.0,0.5866,9.9266,3106.0,160.0,3266.0,1870170.39,46.4,6.43,27.93,1.22
TRENT,Trent Ltd,Consumer Discretionary,0,Archetype 1,11.94,16.0,0.4309,8.0435,841.0,508.0,1349.0,571322.04,8.65,11.82,34.65,3.46
AXISBANK,Axis Bank Ltd,Financials,1,Archetype 2,22.73,11952.0,8.2491,1.6912,-14556.0,9001.0,-5555.0,948868.63,38.14,4.66,16.87,2.32
BAJFINANCE,Bajaj Finance Ltd,Financials,1,Archetype 2,26.29,19987.0,3.8248,2689.1667,-79931.0,7171.0,-72760.0,2473271.58,69.2,4.11,15.96,0.27
COALINDIA,Coal India Ltd,Materials,1,Archetype 2,26.26,47971.0,0.0788,11.2418,13617.0,4486.0,18103.0,454024.84,34.27,14.75,25.15,4.38
HINDALCO,Hindalco Industries Ltd,Materials,1,Archetype 2,4.7,23872.0,0.5309,126.4654,9789.0,14267.0,24056.0,722281.1,56.45,9.32,27.63,0.98
HINDUNILVR,"Hindustan Unilever Ltd
",Consumer Staples,1,Archetype 2,16.61,14659.0,0.029,57.847,10145.0,5324.0,15469.0,548890.59,34.51,11.88,7.52,4.32
INDIGO,Interglobe Aviation Ltd,Consumer Discretionary,1,Archetype 2,11.85,16331.0,0.0186,22.6126,9424.0,11759.0,21183.0,1040632.92,76.23,7.87,24.64,4.27
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,Financials,2,Archetype 3,17.85,4548.0,6.8634,21.2118,-38538.0,2855.0,-35683.0,971931.96,16.79,10.36,13.52,2.83
CIPLA,"Cipla Ltd
",Healthcare,2,Archetype 3,16.12,6291.0,0.0209,35.3388,1152.0,2982.0,4134.0,439803.15,59.75,5.93,33.7,0.12
HEROMOTOCO,"Hero MotoCorp Ltd
",Consumer Discretionary,2,Archetype 3,9.9,5235.0,0.0342,47.2685,3095.0,1828.0,4923.0,1593400.88,53.86,12.6,28.27,1.91
BANKBARODA,Bank of Baroda,Financials,3,Archetype 4,15.94,4102.0,12.1437,1.8967,-7559.0,1285.0,-6274.0,590971.02,16.89,4.15,24.7,2.62
ICICIGI,ICICI Lombard General Insurance Company Ltd,Financials,3,Archetype 4,9.37,2577.0,0.0029,160.0268,486.0,1921.0,2407.0,1271789.21,49.0,7.86,36.96,3.46
INDUSINDBK,IndusInd Bank Ltd,Financials,3,Archetype 4,19.56,2978.0,6.8857,1.8795,-17468.0,625.0,-16843.0,1807433.12,8.99,3.7,28.79,1.42
CANBK,Canara Bank,Financials,4,Archetype 5,13.94,-7745.0,14.8674,1.6107,13296.0,1750.0,15046.0,496415.88,36.74,12.61,25.23,3.81
HDFCBANK,HDFC Bank Ltd,Financials,4,Archetype 5,23.07,-44685.0,6.8088,1.4008,35669.0,16600.0,19069.0,808359.03,49.42,4.4,22.54,4.33
ICICIBANK,ICICI Bank Ltd,Financials,4,Archetype 5,28.89,-14152.0,6.4456,1.3009,12547.0,144737.0,157284.0,1319221.86,25.76,6.2,38.28,3.43
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd,Financials,4,Archetype 5,0.94,-1829.0,0.109,31.0215,105.0,7420.0,-7315.0,1596987.55,20.83,12.38,22.57,0.35
KOTAKBANK,"Kotak Mahindra Bank Ltd
",Financials,4,Archetype 5,32.39,-13382.0,4.0037,1.2364,6766.0,8919.0,15685.0,430223.52,32.9,1.15,15.52,1.51
