company_id,company_name,sector,cluster,archetype
ATGL,Adani Total Gas Ltd,Energy,3,Diversified Core Large-Cap Companies
AMBUJACEM,Ambuja Cements Ltd,Materials,3,Diversified Core Large-Cap Companies
APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",Healthcare,3,Diversified Core Large-Cap Companies
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Materials,3,Diversified Core Large-Cap Companies
DMART,Avenue Supermarts Ltd,Consumer Discretionary,3,Diversified Core Large-Cap Companies
BAJAJ-AUTO,Bajaj Auto Ltd,Consumer Discretionary,3,Diversified Core Large-Cap Companies
BPCL,Bharat Petroleum Corporation Ltd,Energy,3,Diversified Core Large-Cap Companies
BOSCHLTD,Bosch Ltd,Consumer Discretionary,3,Diversified Core Large-Cap Companies
BRITANNIA,Britannia Industries Ltd,Consumer Staples,3,Diversified Core Large-Cap Companies
DLF,DLF Ltd,Real Estate,3,Diversified Core Large-Cap Companies
DABUR,Dabur India Ltd,Consumer Staples,3,Diversified Core Large-Cap Companies
DRREDDY,Dr Reddys Laboratories Ltd,Healthcare,3,Diversified Core Large-Cap Companies
EICHERMOT,Eicher Motors Ltd,Consumer Discretionary,3,Diversified Core Large-Cap Companies
GAIL,GAIL (India) Ltd,Energy,3,Diversified Core Large-Cap Companies
GODREJCP,Godrej Consumer Products Ltd,Consumer Staples,3,Diversified Core Large-Cap Companies
HCLTECH,HCL Technologies Ltd,Information Technology,3,Diversified Core Large-Cap Companies
HAVELLS,Havells India Ltd,Industrials,3,Diversified Core Large-Cap Companies
IOC,"Indian Oil Corporation
",Energy,3,Diversified Core Large-Cap Companies
IRCTC,Indian Railway Catering & Tourism Corporation Ltd,Consumer Discretionary,3,Diversified Core Large-Cap Companies
NAUKRI,Info Edge (India) Ltd,Communication Services,3,Diversified Core Large-Cap Companies
INFY,Infosys Ltd,Information Technology,3,Diversified Core Large-Cap Companies
JSWSTEEL,JSW Steel Ltd,Materials,3,Diversified Core Large-Cap Companies
JINDALSTEL,Jindal Steel & Power Ltd,Materials,3,Diversified Core Large-Cap Companies
LTIM,LTIMindtree Ltd,Information Technology,3,Diversified Core Large-Cap Companies
LT,Larsen & Toubro Ltd,Industrials,3,Diversified Core Large-Cap Companies
LODHA,Macrotech Developers Ltd,Real Estate,3,Diversified Core Large-Cap Companies
MARUTI,Maruti Suzuki India Ltd,Consumer Discretionary,3,Diversified Core Large-Cap Companies
NTPC,NTPC Ltd,Energy,3,Diversified Core Large-Cap Companies
NESTLEIND,Nestle India Ltd,Consumer Staples,3,Diversified Core Large-Cap Companies
ONGC,Oil & Natural Gas Corpn Ltd,Energy,3,Diversified Core Large-Cap Companies
PIDILITIND,Pidilite Industries Ltd,Materials,3,Diversified Core Large-Cap Companies
RELIANCE,"Reliance Industries Ltd
",Energy,3,Diversified Core Large-Cap Companies
MOTHERSON,Samvardhana Motherson International Ltd,Consumer Discretionary,3,Diversified Core Large-Cap Companies
SHREECEM,Shree Cement Ltd,Materials,3,Diversified Core Large-Cap Companies
SIEMENS,Siemens Ltd,Industrials,3,Diversified Core Large-Cap Companies
SBIN,State Bank of India,Financials,3,Diversified Core Large-Cap Companies
SUNPHARMA,Sun Pharmaceuticals Industries Ltd,Healthcare,3,Diversified Core Large-Cap Companies
TCS,Tata Consultancy Services Ltd,Information Technology,3,Diversified Core Large-Cap Companies
TATACONSUM,Tata Consumer Products Ltd,Consumer Staples,3,Diversified Core Large-Cap Companies
TATAMOTORS,Tata Motors Ltd,Consumer Discretionary,3,Diversified Core Large-Cap Companies
TATAPOWER,"Tata Power Company Ltd
",Energy,3,Diversified Core Large-Cap Companies
TATASTEEL,"Tata Steel Ltd
",Materials,3,Diversified Core Large-Cap Companies
TECHM,Tech Mahindra Ltd,Information Technology,3,Diversified Core Large-Cap Companies
TITAN,"Titan Company Ltd
",Consumer Discretionary,3,Diversified Core Large-Cap Companies
TORNTPHARM,Torrent Pharmaceuticals Ltd,Healthcare,3,Diversified Core Large-Cap Companies
TRENT,Trent Ltd,Consumer Discretionary,3,Diversified Core Large-Cap Companies
ADANIGREEN,Adani Green Energy Ltd,Energy,4,Highly Leveraged Financial Companies
CANBK,Canara Bank,Financials,4,Highly Leveraged Financial Companies
HDFCBANK,HDFC Bank Ltd,Financials,4,Highly Leveraged Financial Companies
ICICIBANK,ICICI Bank Ltd,Financials,4,Highly Leveraged Financial Companies
IRFC,Indian Railway Finance Corporation Ltd,Financials,4,Highly Leveraged Financial Companies
KOTAKBANK,"Kotak Mahindra Bank Ltd
",Financials,4,Highly Leveraged Financial Companies
