company_id,company_name,sector,pe_ratio,pb_ratio,ev_ebitda,FCF_yield_pct,5yr_median_PE,PE_vs_sector_median_pct,flag
HINDUNILVR,"Hindustan Unilever Ltd
",Consumer Staples,34.51,11.88,7.52,1.8482736240750641,50.95,67.73307163886162,Discount
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd,Financials,20.83,12.38,22.57,0.006574879059013327,34.24,60.835280373831765,Discount
BPCL,Bharat Petroleum Corporation Ltd,Energy,68.15,0.72,26.59,5.422883218663305,44.915,151.73104753423135,Caution
BOSCHLTD,Bosch Ltd,Consumer Discretionary,58.43,6.47,16.07,0.05908701218425355,38.005,153.74292856203132,Caution
BHEL,"Bharat Heavy Electricals Limited
",Industrials,29.8,11.43,21.59,-0.4410671269170658,47.155,63.195843494857385,Discount
TATAPOWER,"Tata Power Company Ltd
",Energy,14.5,3.48,12.02,0.2166615750083587,44.915,32.28320160302795,Discount
TATAMOTORS,Tata Motors Ltd,Consumer Discretionary,67.07,0.93,15.35,3.000651602734764,38.005,176.47677937113536,Caution
DMART,Avenue Supermarts Ltd,Consumer Discretionary,72.53,11.71,36.84,0.00910553222430331,38.005,190.84331009077752,Caution
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,Financials,16.79,10.36,13.52,-3.9650923712808046,34.24,49.03621495327102,Discount
JSWENERGY,JSW Energy Ltd,Energy,24.79,9.88,35.95,-1.7705336124937798,44.915,55.19314260269398,Discount
DRREDDY,Dr Reddys Laboratories Ltd,Healthcare,11.73,10.19,14.56,0.020845250072724943,47.06,24.925626859328517,Discount
IRCTC,Indian Railway Catering & Tourism Corporation Ltd,Consumer Discretionary,60.44,5.74,32.47,0.05299874823631171,38.005,159.03170635442703,Caution
IRFC,Indian Railway Finance Corporation Ltd,Financials,9.81,3.91,16.66,0.3019460457018293,34.24,28.650700934579437,Discount
COALINDIA,Coal India Ltd,Materials,34.27,14.75,25.15,2.9991751112119767,55.62,61.61452714850773,Discount
GODREJCP,Godrej Consumer Products Ltd,Consumer Staples,33.59,8.07,23.55,-0.10280184353453976,50.95,65.92737978410207,Discount
LT,Larsen & Toubro Ltd,Industrials,30.8,2.48,16.63,1.8179837675257147,47.155,65.31650938394657,Discount
BEL,Bharat Electronics Ltd,Industrials,17.89,9.22,23.14,-0.09337302073000636,47.155,37.93871275580532,Discount
TITAN,"Titan Company Ltd
",Consumer Discretionary,10.13,10.51,21.0,0.0839572651499547,38.005,26.654387580581503,Discount
PNB,Punjab National Bank,Financials,19.29,10.91,23.64,-1.6126067787208855,34.24,56.3376168224299,Discount
PIDILITIND,Pidilite Industries Ltd,Materials,36.12,12.3,5.36,0.588510137595519,55.62,64.94066882416398,Discount
M&M,"Mahindra & Mahindra Ltd
",Consumer Discretionary,14.22,0.81,29.08,-0.2694648852484086,38.005,37.41612945665044,Discount
BANKBARODA,Bank of Baroda,Financials,16.89,4.15,24.7,-1.279081332956056,34.24,49.32827102803738,Discount
BAJFINANCE,Bajaj Finance Ltd,Financials,69.2,4.11,15.96,-3.2317922805711454,34.24,202.10280373831776,Caution
BAJAJFINSV,Bajaj Finserv Ltd,Financials,15.07,6.08,39.72,-4.180016339930263,34.24,44.01285046728972,Discount
MARUTI,Maruti Suzuki India Ltd,Consumer Discretionary,20.78,8.26,29.97,0.3282212496887102,38.005,54.6770161820813,Discount
MOTHERSON,Samvardhana Motherson International Ltd,Consumer Discretionary,9.54,2.38,33.39,0.6329063689949501,38.005,25.10196026838574,Discount
NAUKRI,Info Edge (India) Ltd,Communication Services,32.88,8.33,11.87,-0.026604025891463663,48.33,68.03227808814401,Discount
INDIGO,Interglobe Aviation Ltd,Consumer Discretionary,76.23,7.87,24.64,0.9056027172386589,38.005,200.57887120115777,Caution
